Timestamp,Process Temp,Process Temp SP,Steam Flow Rate,Steam Totalizer,QualSteam Valve Opening,Inlet Steam Pressure,Outlet Steam Pressure,Pressure SP
2025-12-16 10:35:00,28.4,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:36:00,31.2,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:37:00,40.2,64.1,0.0,6677.07666016,100.0,4.3,4.4,1.5
2025-12-16 10:38:00,47.1,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:39:00,45.8,64.0,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:40:00,45.4,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:41:00,44.9,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:42:00,44.6,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:43:00,44.0,64.0,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:44:00,53.5,64.1,0.0,6677.07666016,100.0,4.4,4.4,1.5
2025-12-16 10:45:00,62.0,64.1,115.96485138,6677.27050781,100.0,3.9,3.1,1.5
2025-12-16 10:46:00,65.2,64.0,0.0,6678.60595703,0.0,4.3,3.1,1.5
2025-12-16 10:47:00,63.5,64.1,118.17886353,6679.13378906,100.0,4.0,3.6,1.5
2025-12-16 10:48:00,65.5,65.1,16.13257599,6680.34863281,12.2,4.4,2.8,1.5
2025-12-16 10:49:00,65.0,65.0,0.0,6681.57373047,100.0,4.2,4.2,1.5
2025-12-16 10:50:00,65.4,65.1,22.463274,6681.97900391,46.6,4.4,4.0,1.5
2025-12-16 10:51:00,65.2,65.1,0.0,6682.32861328,73.0,4.3,4.3,1.5
2025-12-16 10:52:00,65.0,65.1,104.69979095,6682.65625,100.0,4.3,4.2,1.5
2025-12-16 10:53:00,64.8,65.1,115.96485138,6684.38232422,97.2,3.9,3.3,1.5
2025-12-16 10:54:00,64.9,65.0,58.93183136,6686.05517578,60.0,4.2,2.9,1.5
2025-12-16 10:55:00,63.0,65.1,0.0,6686.64990234,100.0,4.3,4.3,1.5
2025-12-16 10:56:00,60.8,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 10:57:00,59.0,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 10:58:00,57.4,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 10:59:00,55.8,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:00:00,53.2,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:01:00,50.4,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:02:00,48.0,65.0,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:03:00,45.3,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:04:00,43.6,65.1,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:05:00,42.2,65.0,0.0,6686.64990234,100.0,4.4,4.4,1.5
2025-12-16 11:06:00,40.7,65.1,0.0,6686.64990234,100.0,4.4,4.5,1.5
2025-12-16 11:07:00,40.2,65.1,0.0,6686.64990234,100.0,4.4,4.5,1.5
2025-12-16 11:08:00,40.0,65.1,0.0,6686.64990234,100.0,4.4,4.5,1.5
2025-12-16 11:09:00,39.8,65.1,0.0,6686.64990234,100.0,4.4,4.5,1.5
2025-12-16 11:10:00,39.5,65.1,0.0,6686.64990234,100.0,4.4,4.5,1.5
2025-12-16 11:11:00,39.1,65.1,0.0,6686.64990234,100.0,4.5,4.5,1.5
